Wall time,Step,Value
1600864585.5936131,1,-65.41546630859375
1600864600.8523707,2,-73.15106201171875
1600864614.9679909,3,-68.17073059082031
1600864628.9236648,4,-73.51155090332031
1600864642.8706415,5,-64.82821655273438
1600864657.1165574,6,-59.50243377685547
1600864670.8067236,7,-54.09733963012695
1600864684.5786836,8,-56.67212677001953
1600864698.6341007,9,-51.466163635253906
1600864712.5454836,10,-50.999385833740234
1600864726.8059006,11,-49.09089279174805
1600864740.947472,12,-52.301998138427734
1600864755.1296556,13,-49.15528106689453
1600864769.8223572,14,-46.78424835205078
1600864784.236803,15,-42.548828125
1600864800.3522115,16,-38.74515151977539
1600864814.9976995,17,-35.79827117919922
1600864831.5265,18,-31.483064651489258
1600864847.8701942,19,-38.16727066040039
1600864862.8075213,20,-27.252676010131836
1600864877.8704407,21,-30.920501708984375
1600864894.4045267,22,-26.516996383666992
1600864909.5863972,23,-26.905710220336914
1600864925.3605142,24,-18.732837677001953
1600864940.2531266,25,-34.58564376831055
1600864957.2997963,26,-29.505943298339844
1600864975.266277,27,-29.35047149658203
1600864990.3043506,28,-29.463525772094727
1600865009.4060175,29,-24.749774932861328
1600865030.410687,30,-32.5692138671875
1600865047.3032708,31,-24.927255630493164
1600865062.2245765,32,-26.18499183654785
1600865076.1267874,33,-23.150354385375977
1600865088.931095,34,-29.840444564819336
1600865104.0492692,35,-25.035802841186523
1600865123.612674,36,-19.92325210571289
1600865137.2768424,37,-11.211029052734375
1600865152.2040372,38,-15.325230598449707
1600865165.761269,39,-20.653663635253906
1600865180.338665,40,-11.769322395324707
1600865193.0838816,41,-17.6223087310791
1600865205.4693644,42,-19.572771072387695
1600865219.593336,43,-17.65439224243164
1600865232.4286516,44,-15.843756675720215
1600865245.3844576,45,-12.636369705200195
1600865259.847648,46,-16.443092346191406
1600865272.554614,47,-17.146963119506836
1600865284.9107003,48,-4.706750869750977
1600865295.4705215,49,-19.166099548339844
1600865306.7036507,50,-17.129356384277344
1600865317.9539156,51,-18.001237869262695
1600865329.6536658,52,-18.23398208618164
1600865344.1931758,53,-10.234611511230469
1600865358.2441728,54,-16.599781036376953
1600865375.921571,55,-12.03874683380127
1600865395.511592,56,-16.34391975402832
1600865412.132226,57,-15.405055046081543
1600865430.1113226,58,-4.9231719970703125
1600865448.3091497,59,-13.186687469482422
1600865467.8330348,60,-12.827357292175293
1600865486.0890865,61,-8.0831880569458
1600865504.3927639,62,-2.9192872047424316
1600865521.9926748,63,-5.770434379577637
1600865540.9121547,64,-11.696779251098633
1600865560.0802858,65,-7.177286148071289
1600865579.3982966,66,-8.606474876403809
1600865602.1662498,67,-8.747870445251465
1600865617.2938256,68,-8.422507286071777
1600865632.8321655,69,-10.23748779296875
1600865649.3582087,70,-5.186326503753662
1600865665.6512682,71,-4.057053565979004
1600865682.293887,72,0.33318641781806946
1600865699.342318,73,7.174481391906738
1600865716.8249779,74,4.311182022094727
1600865735.4711804,75,4.27241849899292
1600865753.6362588,76,8.74042797088623
1600865770.6102817,77,9.143916130065918
1600865798.851282,78,9.786155700683594
1600865831.1177437,79,13.231200218200684
1600865849.236404,80,18.14466094970703
1600865867.2660997,81,15.791473388671875
1600865885.9582577,82,19.809675216674805
1600865903.1666481,83,12.008979797363281
1600865920.1572423,84,19.009004592895508
1600865937.662202,85,17.601173400878906
1600865955.5947914,86,21.383214950561523
1600865972.9126437,87,28.127071380615234
1600865990.4610565,88,23.72870445251465
1600866008.1012795,89,26.067951202392578
1600866025.572285,90,24.585487365722656
1600866044.014948,91,26.101594924926758
1600866062.2137778,92,22.03904914855957
1600866077.7811809,93,31.157119750976562
1600866093.5612595,94,30.640762329101562
1600866108.0983186,95,29.566875457763672
1600866122.799131,96,30.11273765563965
1600866138.0545971,97,33.82025146484375
1600866152.0697322,98,32.13157272338867
1600866165.6397033,99,38.458839416503906
1600866181.101561,100,35.93663024902344
1600866201.6897635,101,33.201229095458984
1600866215.7244184,102,36.51520538330078
1600866229.9810162,103,34.775997161865234
1600866247.2438426,104,37.59419631958008
1600866261.810168,105,42.20560073852539
1600866277.063244,106,39.0982666015625
1600866295.064494,107,42.234619140625
1600866312.4585593,108,43.96794128417969
1600866327.9120865,109,42.23318862915039
1600866342.0507226,110,38.54225158691406
1600866356.349794,111,42.46305465698242
1600866370.57614,112,44.429962158203125
1600866385.7093172,113,45.83122253417969
1600866400.123169,114,45.2861213684082
1600866417.4662008,115,52.59029769897461
1600866433.85833,116,52.01984405517578
1600866448.6263623,117,48.090641021728516
