Wall time,Step,Value
1600870345.6699498,1,-44.96067810058594
1600870361.9808059,2,-45.06075668334961
1600870377.9357302,3,-46.19704818725586
1600870394.6753592,4,-44.025360107421875
1600870411.6015677,5,-46.54948425292969
1600870428.2314024,6,-44.0107307434082
1600870444.9439883,7,-39.95777130126953
1600870461.9966278,8,-38.101318359375
1600870479.3825002,9,-35.374393463134766
1600870496.836391,10,-35.842464447021484
1600870512.7772858,11,-39.588478088378906
1600870528.70197,12,-40.581180572509766
1600870544.7449427,13,-35.98694610595703
1600870560.7333012,14,-38.977664947509766
1600870577.2659092,15,-38.467594146728516
1600870593.378893,16,-37.65361785888672
1600870616.0030878,17,-33.13905334472656
1600870636.3334625,18,-34.97806167602539
1600870653.0619843,19,-33.28876876831055
1600870670.993227,20,-29.560317993164062
1600870687.8135064,21,-35.06794357299805
1600870704.2352014,22,-31.46215057373047
1600870722.4267325,23,-26.885286331176758
1600870740.2743607,24,-29.112506866455078
1600870757.224801,25,-26.7238712310791
1600870774.279649,26,-23.981792449951172
1600870790.9058785,27,-19.366275787353516
1600870808.2833557,28,-20.322153091430664
1600870824.010755,29,-16.512035369873047
1600870840.4089837,30,-16.589279174804688
1600870856.5336337,31,-12.72534465789795
1600870873.4118319,32,-13.32021713256836
1600870889.4931576,33,-12.775933265686035
1600870906.0882895,34,-11.247174263000488
1600870922.0041173,35,-9.914453506469727
1600870939.0742455,36,-12.126419067382812
1600870956.132799,37,-10.159624099731445
1600870973.4418893,38,-8.70933723449707
1600870990.019264,39,-7.891122341156006
1600871007.0136447,40,-8.07528018951416
1600871024.8295548,41,-6.76699161529541
1600871041.2911327,42,-8.191932678222656
1600871058.759258,43,-7.108231067657471
1600871076.5761745,44,-4.088557243347168
1600871094.3704958,45,-7.527742385864258
1600871111.489607,46,-7.275844573974609
1600871128.144102,47,-4.541400909423828
1600871147.148525,48,-4.840038776397705
1600871164.8768866,49,-5.828909397125244
1600871180.6112683,50,-6.720609188079834
1600871197.294962,51,-5.745640277862549
1600871213.6116393,52,-6.540849208831787
1600871230.9685116,53,-7.956788539886475
1600871249.1742067,54,-5.082452774047852
1600871266.3309577,55,-5.71988582611084
1600871284.5926185,56,-6.715610027313232
1600871303.3258708,57,-8.378806114196777
1600871323.0352776,58,-6.836930751800537
1600871340.3792973,59,-5.855968952178955
1600871358.2750843,60,-6.611198425292969
1600871376.5213957,61,-8.263537406921387
1600871393.1868753,62,-6.433246612548828
1600871411.4879546,63,-7.91318416595459
1600871428.6579704,64,-6.755077838897705
1600871448.0721629,65,-7.858236312866211
1600871462.6916633,66,-9.196982383728027
1600871477.0417523,67,-8.47089672088623
1600871491.5378494,68,-7.941143989562988
1600871505.766769,69,-7.497978687286377
1600871520.150288,70,-7.595874309539795
1600871534.2535012,71,-9.102412223815918
1600871548.2694252,72,-8.376127243041992
1600871563.1465614,73,-11.389287948608398
1600871580.909551,74,-7.746978759765625
1600871599.6008584,75,-9.145119667053223
1600871615.6118612,76,-7.8889946937561035
1600871634.9753346,77,-8.378353118896484
1600871649.6220722,78,-8.847846031188965
1600871665.3897195,79,-10.378538131713867
1600871682.234793,80,-10.382767677307129
1600871698.6819186,81,-9.366592407226562
1600871715.1569438,82,-8.282083511352539
1600871733.4060266,83,-9.45718765258789
1600871749.8842273,84,-6.800567150115967
1600871765.78042,85,-9.51132869720459
1600871781.8199425,86,-10.281028747558594
1600871798.805171,87,-7.4554009437561035
1600871814.817572,88,-8.482390403747559
1600871830.5536737,89,-8.506149291992188
1600871846.788332,90,-7.379695892333984
1600871865.4069843,91,-8.965137481689453
1600871882.5804873,92,-8.825491905212402
1600871900.1001863,93,-13.970844268798828
1600871916.4205496,94,-9.072639465332031
